100
39 67
17 30 33
36 16 33
21 25 33
30 5 33
31 27 33
5 22 10
11 30 33
23 30 33
3 1 33
18 47
18 17 16
1 11 2
1 17 16
7 4 16
12 18 12
6 17 16
11 7 16
7 1 16
13 8 16
14 7 7
4 3 4
15 9 16
8 9 16
1 15 16
6 5 16
1 10 2
7 1 16
3 11 4
11 1 2
12 9 16
11 6 6
12 16 16
15 8 16
8 2 16
16 14 16
11 5 16
17 9 16
2 4 4
16 15 16
5 11 16
9 2 9
11 2 2
9 1 9
5 6 16
2 13 6
8 17 16
9 13 6
17 16 16
2 7 16
8 11 16
17 16 16
18 13 16
14 2 16
12 9 16
12 5 16
10 12 16
14 9 16
8 37
5 3 4
1 7 4
1 2 2
7 3 4
2 5 2
7 1 4
6 1 2
7 8 4
6 4 2
2 6 2
7 1 4
1 6 2
8 5 4
3 5 4
8 3 3
6 4 2
4 8 4
6 3 8
4 2 2
6 3 2
4 2 2
6 8 2
7 4 4
5 8 4
1 5 4
4 6 2
8 3 3
3 2 7
8 2 2
6 5 2
3 8 3
4 1 4
3 4 4
6 3 2
7 3 4
5 6 2
7 1 4
41 97
41 36 2
35 31 6
7 3 3
9 4 2
13 23 6
26 35 6
10 1 6
4 17 6
1 38 6
12 37 36
26 4 26
28 32 2
15 2 2
29 28 6
24 38 2
14 34 6
6 21 6
8 1 6
33 13 2
26 4 26
37 38 2
11 20 3
19 17 29
13 35 6
18 34 6
28 24 2
9 26 2
20 2 2
21 37 2
8 10 2
41 3 2
4 40 2
14 10 2
7 40 2
23 22 6
21 18 21
5 26 2
38 26 2
20 38 3
7 41 2
35 30 6
7 21 2
19 17 29
28 26 2
25 28 6
3 32 2
20 9 3
31 32 2
24 14 2
29 32 6
13 26 2
12 23 6
14 33 2
38 20 3
27 13 2
14 13 2
8 18 2
9 7 3
35 28 6
33 16 2
2 7 2
30 20 2
15 41 2
33 1 6
19 40 6
9 31 2
6 33 6
10 22 2
7 20 3
32 33 2
27 40 2
23 29 29
22 4 2
41 40 2
33 22 2
28 5 2
14 15 2
22 7 2
12 25 6
14 31 2
2 13 2
10 34 6
13 11 2
3 31 2
1 28 6
35 7 6
16 6 6
37 41 2
1 38 6
26 28 2
11 16 2
30 32 2
11 31 2
30 29 6
19 7 6
2 20 2
21 2 2
57 13
10 48 48
42 45 48
38 53 53
35 47 48
54 25 28
28 35 48
51 46 12
21 52 16
4 57 48
28 52 16
44 20 48
11 6 48
40 10 40
9 29
2 8 7
8 5 5
7 9 7
3 9 7
5 2 7
8 5 5
6 2 7
7 8 7
7 9 7
6 2 7
6 7 7
1 4 7
4 6 7
2 4 7
6 4 7
7 4 7
7 2 7
7 2 7
9 2 7
2 5 7
4 7 7
9 2 7
5 3 5
9 8 6
5 7 7
1 9 7
1 3 5
8 6 7
4 5 7
37 38
12 22 5
33 5 5
7 6 12
1 7 34
15 8 15
36 10 34
17 3 5
8 23 5
34 14 34
24 5 5
26 12 12
15 2 5
5 32 5
31 14 34
34 21 34
31 33 34
28 9 27
22 10 5
7 6 12
8 31 5
18 30 12
29 21 29
36 18 18
11 22 5
31 16 12
19 8 5
2 16 12
26 3 5
31 27 27
37 22 5
9 24 27
28 1 34
25 23 12
7 23 34
4 7 34
27 4 34
3 1 5
16 23 12
15 79
8 5 2
13 2 2
12 7 2
6 4 2
9 10 2
13 14 7
3 11 2
1 7 2
13 6 2
8 6 2
14 5 7
12 13 7
10 9 2
13 2 2
13 10 2
7 9 7
4 1 2
2 11 2
7 3 2
2 12 2
7 5 7
1 5 2
9 10 2
6 11 2
7 3 2
9 8 2
6 12 2
1 7 2
9 2 2
5 7 7
12 11 2
2 7 2
7 5 7
1 11 2
15 5 2
15 12 10
6 12 2
7 13 7
1 4 2
3 10 10
1 2 2
5 3 2
8 9 2
8 13 2
12 4 10
13 2 2
8 11 2
6 12 2
1 12 2
3 10 10
5 15 2
4 12 1
13 15 2
1 7 2
2 7 2
6 15 2
7 5 7
9 10 2
6 13 2
13 14 7
8 2 2
2 12 10
9 4 2
9 6 2
3 4 10
4 12 10
8 11 2
1 14 2
13 7 7
11 7 7
14 13 7
8 10 10
2 4 2
2 6 2
15 3 15
4 11 2
6 7 2
9 10 2
7 5 7
60 120
1 15 17
30 35 14
37 56 14
35 36 45
8 11 14
22 3 14
55 23 14
50 9 53
5 21 22
43 17 14
41 5 14
48 8 14
40 4 45
9 2 14
7 53 14
28 9 14
44 25 14
55 6 14
21 7 39
43 38 39
52 16 14
41 45 45
35 58 45
12 40 45
6 26 14
4 29 14
27 11 14
56 13 14
33 39 14
49 30 14
52 14 14
7 56 30
1 19 14
40 5 14
49 51 17
15 25 14
58 24 45
5 42 14
35 22 14
3 36 14
51 26 14
17 37 14
7 30 30
20 21 14
33 55 14
43 52 14
18 11 14
45 39 14
47 20 14
54 51 14
5 31 14
18 4 14
10 54 14
39 11 39
33 10 45
48 55 48
18 29 17
60 47 14
48 20 14
23 51 14
4 33 45
38 46 14
46 50 14
13 34 14
24 36 47
33 7 14
28 1 14
15 50 14
20 5 14
17 59 14
37 60 14
54 58 14
43 30 39
40 34 14
20 45 14
39 33 14
26 14 14
31 3 14
38 56 38
50 38 14
27 29 27
56 53 14
26 43 39
58 54 14
8 56 14
12 26 14
21 44 14
13 50 14
57 51 14
41 39 14
4 16 14
2 10 45
23 25 14
26 5 39
6 28 14
41 60 14
54 23 14
29 59 14
58 32 14
58 54 14
48 17 14
4 8 45
27 53 14
33 19 14
6 55 14
28 45 14
13 25 14
9 14 14
44 10 45
27 24 14
35 12 45
25 44 14
47 19 14
34 40 14
21 55 57
16 9 14
41 23 41
57 17 14
13 28 14
38 6 14
39 40
19 32 28
21 32 28
1 18 16
29 1 28
25 15 35
4 29 28
13 35 28
38 37 37
19 12 28
39 34 28
19 18 28
15 3 16
24 35 28
10 26 28
39 29 28
26 16 28
39 23 28
16 31 28
11 3 20
39 27 19
5 15 28
4 32 28
10 38 10
27 7 19
20 11 20
36 26 28
14 2 28
10 12 10
30 35 28
35 29 28
36 14 28
24 28 28
37 14 28
12 34 28
34 18 28
26 3 28
32 2 28
14 28 28
5 15 28
37 39 28
58 31
7 9 9
22 57 22
30 3 48
37 36 48
35 33 22
14 18 48
58 55 22
38 39 4
14 32 14
53 29 39
22 39 4
16 49 48
29 37 4
49 28 22
51 47 48
31 44 48
27 38 48
45 19 43
35 10 4
9 51 48
27 55 22
34 1 48
17 12 43
8 24 48
20 15 48
38 52 48
14 2 48
41 48 48
28 52 22
15 22 22
8 36 48
3 3
1 2 2
2 3 3
3 1 1
50 111
8 17 23
26 2 5
11 13 5
1 6 5
30 46 5
18 17 5
10 32 5
32 19 5
32 34 5
50 29 36
49 6 5
34 19 5
44 42 5
3 22 5
7 22 5
4 41 19
31 15 5
30 15 30
44 8 5
32 19 5
34 17 5
47 19 5
39 41 5
17 45 23
39 35 5
33 36 5
47 42 36
6 38 30
14 48 44
17 47 5
47 18 5
13 15 5
7 1 13
19 33 5
29 12 5
42 47 36
41 43 5
8 38 5
4 46 5
7 36 5
11 23 5
24 26 5
22 43 43
27 50 5
35 22 5
26 32 5
50 8 5
11 9 5
45 48 5
16 7 13
35 18 5
32 41 5
17 27 5
7 49 5
25 39 5
6 46 5
6 17 5
24 14 5
6 3 5
23 49 5
6 11 5
49 41 5
46 36 36
35 42 5
50 32 5
20 25 5
18 43 5
47 1 5
31 25 5
3 2 5
12 26 12
18 34 5
48 42 5
26 4 5
45 8 40
50 25 36
13 29 5
9 8 13
14 6 5
13 22 5
13 2 13
46 3 36
23 31 5
32 18 5
48 22 5
27 47 5
48 41 5
24 3 5
33 11 5
34 14 5
29 6 5
28 32 5
1 14 5
27 32 5
28 22 5
3 21 5
3 4 5
3 7 5
46 9 5
42 48 5
25 1 5
21 7 40
1 34 5
24 16 5
20 23 23
3 50 36
48 37 37
36 31 5
9 31 5
23 33 23
28 12 5
25 43
24 2 1
11 25 17
10 2 5
23 7 8
12 1 1
22 18 1
5 16 1
22 24 1
20 2 22
18 14 13
4 16 1
23 15 13
2 13 1
10 20 22
18 20 1
14 15 13
12 21 1
1 19 1
25 12 17
19 2 22
3 1 1
4 18 1
14 8 8
1 10 1
12 7 13
13 22 1
4 15 1
19 3 22
16 8 13
5 18 1
3 5 22
22 25 1
14 23 8
2 17 1
14 13 13
22 24 1
20 1 1
15 4 1
25 11 17
1 3 1
12 25 17
14 10 1
11 4 1
31 63
13 21 23
24 21 16
9 25 16
3 22 16
1 19 23
3 19 23
9 23 23
9 4 16
14 21 23
11 13 23
19 26 16
11 8 23
18 17 16
11 24 16
12 13 23
31 15 16
2 25 16
16 20 16
16 10 16
28 1 16
7 22 16
5 9 16
30 13 10
31 1 10
28 16 16
4 3 16
11 6 23
5 17 17
24 11 16
7 31 10
4 16 16
2 6 23
3 22 16
17 16 16
18 6 23
24 28 28
8 2 2
7 24 16
25 23 16
16 27 16
30 13 10
2 7 23
29 23 23
29 15 16
14 12 23
3 30 23
29 31 29
26 31 16
5 30 16
31 12 23
26 1 16
25 19 16
6 5 16
1 30 20
4 31 16
21 22 16
5 22 20
13 9 7
7 12 23
8 24 16
20 8 16
24 13 16
5 30 16
60 120
55 42 25
45 22 25
46 6 4
1 11 25
30 33 25
35 5 25
25 20 25
25 23 25
43 51 4
37 58 9
34 49 9
19 34 45
27 6 4
35 48 4
47 36 25
17 30 25
1 59 25
23 21 25
49 48 4
60 6 4
58 8 4
51 47 25
17 5 17
8 50 4
32 19 4
56 25 25
17 25 25
3 10 25
34 57 9
17 45 25
60 26 25
13 27 25
31 20 4
26 24 25
42 35 4
46 4 4
8 27 4
21 9 25
12 30 4
60 35 35
2 60 4
32 6 32
52 58 9
38 19 25
34 14 25
29 47 25
7 57 7
5 38 17
54 56 4
12 4 4
29 30 4
29 35 4
53 3 25
47 22 25
41 54 25
52 24 4
11 44 25
16 38 17
43 9 9
37 4 4
56 18 25
46 36 36
43 13 25
30 13 25
4 10 4
27 29 9
46 14 25
53 42 25
33 2 25
58 60 4
33 15 25
9 41 25
42 1 4
49 23 9
47 43 25
9 57 9
17 60 25
8 58 4
23 52 9
7 4 4
48 35 4
51 34 4
42 48 4
25 21 25
31 51 4
13 39 25
13 53 13
27 21 25
54 42 4
38 40 55
59 42 25
44 56 4
53 30 25
41 8 25
28 22 25
5 11 25
16 17 17
11 3 25
50 59 25
25 33 25
38 2 25
4 59 25
1 19 4
32 50 4
54 13 25
9 52 9
3 39 25
26 46 25
28 42 25
18 48 25
7 2 2
41 6 25
32 4 4
22 35 25
28 20 25
7 3 25
47 58 25
21 34 25
8 20 8
51 5 25
8 28
5 4 8
3 4 8
4 5 8
4 8 8
3 5 8
2 8 8
6 1 8
4 3 8
3 8 8
3 6 6
7 1 8
6 2 6
3 8 8
7 6 8
2 7 8
4 2 8
2 1 8
7 4 8
2 7 8
5 3 8
5 7 7
3 8 8
2 3 6
1 5 8
1 8 8
7 3 8
4 8 8
4 3 8
60 120
14 1 13
50 14 23
1 34 57
31 21 57
34 52 57
51 42 22
60 21 22
21 45 13
52 20 13
34 46 57
3 33 13
41 58 13
26 39 13
16 32 13
36 48 13
19 9 22
47 44 22
57 8 13
40 23 13
16 30 22
38 49 13
28 22 22
51 16 22
40 41 22
24 42 57
9 59 13
19 42 57
44 8 13
29 59 13
21 48 22
55 16 22
51 19 22
34 5 13
41 36 13
33 60 13
21 33 13
39 20 13
32 33 23
3 41 6
42 21 42
18 45 13
17 55 13
9 48 9
14 22 13
33 56 13
1 47 6
48 33 13
32 9 13
50 22 13
17 53 13
54 44 22
16 41 22
52 44 22
60 52 22
56 50 13
33 21 13
47 7 22
37 9 9
39 24 22
3 56 22
28 43 28
53 27 13
23 2 23
23 39 13
15 13 13
59 16 13
40 44 16
9 18 22
10 27 13
46 51 22
40 59 13
10 27 13
3 7 22
11 50 13
14 40 13
14 21 13
13 15 13
15 25 13
44 46 22
34 5 13
42 27 13
38 47 22
20 55 13
14 15 59
2 59 23
52 35 22
54 43 6
32 13 13
30 49 13
35 52 22
55 2 13
49 26 36
44 4 13
25 22 22
55 36 13
46 3 6
52 26 13
42 11 22
55 12 22
4 1 13
32 30 13
3 46 6
59 56 13
42 59 13
51 29 22
15 1 13
52 33 13
46 7 22
10 8 13
24 44 22
53 13 13
35 22 22
45 43 13
18 3 6
33 23 23
3 58 13
46 7 22
58 42 13
54 31 6
1 34 57
11 74
10 5 2
9 3 9
1 10 1
6 4 2
5 2 2
8 9 9
11 7 11
9 4 2
7 2 2
6 5 9
10 3 2
9 3 9
2 5 2
4 8 2
9 11 9
11 5 5
11 9 9
11 4 2
9 1 2
11 9 9
7 11 11
9 11 9
4 1 4
6 2 2
9 10 2
11 5 5
5 8 8
5 2 2
1 4 4
7 3 9
8 9 9
7 1 2
5 6 9
8 3 9
3 5 9
3 10 2
6 7 9
11 7 11
5 7 5
1 11 2
2 3 2
6 3 6
9 4 2
2 3 2
11 7 11
8 2 2
8 2 2
8 11 8
7 3 9
8 4 2
11 7 11
11 5 5
11 6 9
2 7 2
3 9 9
9 11 9
5 1 2
10 4 4
6 5 9
4 9 2
11 6 9
10 7 2
1 8 2
2 10 2
2 7 2
3 9 9
4 2 2
6 11 9
6 1 2
10 11 2
6 1 2
6 7 9
8 4 2
3 7 9
32 85
22 12 7
6 19 7
11 16 7
25 3 7
5 17 7
8 13 7
17 14 7
28 11 7
13 5 7
9 8 7
29 22 8
3 27 7
24 14 7
27 10 7
22 5 7
14 2 2
31 27 7
24 10 7
20 31 7
8 11 7
26 15 25
32 18 25
31 19 25
15 8 7
8 23 7
5 27 7
20 8 7
31 10 25
26 1 7
28 11 7
19 14 32
27 9 7
23 27 7
18 26 26
20 10 7
6 21 7
18 16 25
28 13 7
22 31 7
7 13 7
21 6 7
21 15 15
11 29 7
7 21 7
11 12 7
32 2 32
31 6 7
29 8 8
2 29 7
24 6 7
10 6 7
26 10 25
11 20 7
30 29 8
2 32 32
19 30 7
1 31 7
16 4 7
32 19 32
7 31 7
25 26 25
13 15 7
10 19 12
10 15 25
6 4 7
18 4 7
6 3 6
31 5 5
4 23 7
5 17 7
9 2 7
25 29 7
21 27 7
28 17 7
30 32 7
26 15 25
8 10 7
22 19 7
23 32 32
15 17 7
20 28 7
26 8 7
22 24 22
11 31 7
19 15 25
6 3
2 4 3
6 5 4
1 2 6
36 12
31 26 11
14 10 28
6 34 28
17 26 28
31 21 28
21 33 24
19 5 28
19 21 26
1 2 28
9 22 26
22 10 28
33 34 18
11 75
7 5 3
8 11 1
7 6 1
1 10 1
1 10 1
5 6 3
4 5 3
1 2 1
4 3 3
6 3 3
5 6 3
3 11 3
10 3 3
6 4 1
3 9 3
3 11 3
4 5 3
2 7 1
1 3 3
2 10 1
2 11 1
10 5 3
11 8 1
3 11 3
8 6 8
7 11 11
3 6 3
5 3 3
4 7 4
5 1 3
5 2 3
6 10 1
1 10 1
4 5 3
11 5 3
8 10 1
2 3 3
10 11 11
1 10 1
10 1 1
2 1 1
3 6 3
8 1 1
5 7 3
10 9 1
5 6 3
2 9 1
10 4 4
5 8 3
5 2 3
10 5 3
1 10 1
10 6 1
7 4 4
10 6 1
8 11 1
8 1 1
8 2 8
2 1 1
2 5 3
3 11 3
5 8 3
10 5 3
9 5 3
11 9 1
5 2 3
7 1 1
2 1 1
10 9 1
4 2 1
10 2 1
3 10 3
4 6 1
8 5 3
3 6 3
35 92
15 25 25
6 35 25
1 7 25
7 2 2
33 4 25
16 9 25
1 7 25
1 19 25
34 31 25
25 9 22
25 15 25
5 15 25
13 12 25
34 14 25
12 16 25
15 8 15
4 22 25
18 27 25
27 21 14
14 32 25
26 25 25
20 19 25
3 24 24
16 31 25
35 34 25
30 21 25
9 10 25
25 34 25
9 31 21
16 5 14
17 6 17
33 2 25
33 26 25
16 24 24
34 30 25
34 27 15
30 28 28
24 9 25
28 17 25
20 10 25
18 16 25
5 7 25
19 1 25
16 26 25
31 35 25
27 31 25
30 24 25
16 21 25
19 20 25
3 9 25
1 4 18
23 13 13
18 1 18
10 27 25
8 20 25
29 30 28
19 3 24
23 1 21
12 7 25
24 5 25
3 35 24
24 10 24
21 32 21
11 28 25
3 25 25
22 7 25
34 20 25
4 30 25
20 29 25
22 7 25
7 30 7
7 29 28
12 26 25
15 3 25
34 6 25
3 1 25
4 3 25
3 23 25
19 25 25
19 18 25
10 1 25
6 31 25
26 13 25
6 21 25
31 26 25
34 5 11
18 15 25
11 34 25
